,title,view_count,like_count,comment_count,published,duration,video_id
1031,Barstool Pizza Review - Prova Pizzabar (Grand Central Station) With Special Guest Wendell Carter Jr,68846,1040,78,2020-3-3,201.0,J6Wc-jagCGA
1032,Barstool US Open Pizza Review - Cafe Crust (Southampton),81367,1031,101,2020-3-3,173.0,HpKNa8e7f5U
1033,Barstool US Open Pizza Review - Francesca's Pizzeria (Shinnecock Hills),54380,739,59,2020-3-3,154.0,vk_NmVZ73bI
1034,Barstool Pizza Review - Pepe Giallo,76205,1115,89,2020-3-3,168.0,EVg3UlonWXs
1035,"Don Antonio w/Jon Hamm,Ed Helms,Jeremy Renner,Jake Johnson & Hannibal Buress - Barstool Pizza Review",3171932,37857,1993,2020-3-3,383.0,mnLIPjYS__o
1036,Barstool Pizza Review - Mani in Pasta,55426,880,97,2020-3-3,207.0,B87y-gG3ezQ
1037,Barstool Pizza Review - Il Corallo Trattoria With Special Guest Lisa Leslie,112126,1455,207,2020-3-3,427.0,7NgwcIq0ooU
1038,Barstool Pizza Review - Zero Otto Nove With Special Guest Terry Rozier,190148,2674,160,2020-3-3,416.0,_xaHZzJ5j4M
1039,Barstool Pizza Review - BD Best Pizza,47740,484,71,2020-3-3,102.0,vE5iCe2CuI4
1040,Barstool Pizza Review - La Margarita,37620,487,78,2020-3-3,211.0,-EUWdAps00E
1041,Barstool Pizza Review - Melani Pizzeria With Special Guest Johnny Knoxville,840312,11222,578,2020-3-3,406.0,hLJc0aVk7Yc
1042,Barstool Pizza Review - Frank's Trattoria,200040,1918,164,2020-3-3,218.0,WrIxu8dCMDo
1043,"Barstool Pizza Review - Little Vincent's (Huntington,NY)",284956,3117,380,2020-3-3,279.0,v7M00bTUZa4
1044,Barstool Special North Shore Pizza Review - Nick's Roast Beef,66201,873,191,2020-3-3,186.0,BhTrQXRVoEs
1045,"PizzaReview-Rinas(Boston,NorthEnd)",86524,1175,68,2020-3-3,130.0,fstdy7RXuPo
1046,"Barstool Pizza Review - Galleria Umberto, Boston (North End)",84671,944,159,2020-3-3,272.0,hb5NZJPcZug
1047,Barstool Pizza Review - Lions And Tigers And Squares,80630,908,118,2020-3-3,148.0,PS9Sespe6Fw
1048,Barstool Pizza Review - Famous Amadeus,101880,1768,208,2020-3-3,168.0,u4JguLZpICg
1049,Barstool Pizza Review - Follia,55658,742,45,2020-3-3,136.0,5T-CQPjm0U8
1050,Barstool Pizza Review - L'industrie Pizzeria (Brooklyn),382496,3751,431,2020-3-3,259.0,1MDsUPNj1fM
1051,Barstool Pizza Review - Zia Maria,164353,1947,208,2020-3-3,259.0,X6H9HKahSOM
1052,Joe & Pat's Pizzeria - Barstool Pizza Review,2974216,76108,3517,2020-3-3,350.0,i0Z65Ssb8g0
1053,Barstool Pizza Review - Joey Pepperoni's (Bonus Yankee Doodle Dandy Chicken Tender Review),255431,3092,257,2020-3-3,416.0,u67R-Hi4EeQ
1054,Barstool Pizza Review - Emmett's Chicago Style Pizza,447902,4394,309,2020-3-3,226.0,CP4IOfq42TI
1055,Barstool Pizza Review - Lee's Tavern (Staten Island),162579,1965,149,2020-3-3,209.0,2TrX-MXeM7Q
1056,"Barstool Pizza Review - Napoli's (Hoboken,NJ)",125805,1541,117,2020-3-3,164.0,6JHQQBYRlDw
1057,"Barstool Pizza Review - Hawthornes Pizza & Bar, Charlotte, NC (Bonus Jordan Flu Game)",87776,851,126,2020-3-3,169.0,usJTF2S4ZlM
1058,Barstool Pizza Review - 42nd Street Pizza With Special Guest Kevin Millar,90124,1086,62,2020-3-3,409.0,6OaEpgc9kfw
1059,Barstool Pizza Review - Best Pizza (Brooklyn) Bonus Goats,726975,11084,891,2020-3-3,408.0,bMq_X-o8umg
